case,distance,df_mics
0,0.3783636105,0.0910950589
1,0.3860510508,0.102738249
2,0.3715949036,0.084748837
3,0.3089770523,0.0978839825
4,0.2203196286,0.0852888525
5,0.3152324084,0.090673059
6,0.2113304998,0.0859278269
7,0.3786689132,0.08565409
8,0.3549884435,0.0913226057
9,0.3349788113,0.0835040625
10,0.2052523169,0.0839659861
11,0.2482548712,0.0925521358
12,0.355223944,0.0839280423
13,0.1531707412,0.0850827473
14,0.3181058318,0.0965118226
15,0.1920156191,0.097902154
16,0.3095839482,0.0935295356
17,0.3824722431,0.0940852595
18,0.451544987,0.0891470838
19,0.2682497384,0.0867450911
20,0.3207393062,0.0952370579
21,0.2282934894,0.0872679745
22,0.2518877063,0.0878120279
23,0.382057872,0.0874249648
24,0.1537188351,0.0903457041
25,0.2778189637,0.0860308462
26,0.2974987359,0.0832191747
27,0.250432585,0.0854669574
28,0.3773568404,0.0843964454
29,0.2836611064,0.0924747394
30,0.3974998198,0.0873240292
31,0.2587545016,0.0852399349
32,0.225070748,0.0946026131
33,0.33127801,0.1044167721
34,0.1906035062,0.0919929879
35,0.2266379638,0.0827728139
36,0.360756882,0.0963057671
37,0.3955196848,0.0917618661
38,0.3676516787,0.0878969665
39,0.1561426069,0.0843040002
40,0.4434498868,0.0922524103
41,0.2107176307,0.0860441538
42,0.2228239853,0.0851374641
43,0.2121978322,0.0839722552
44,0.2372011765,0.0990090951
45,0.3324254034,0.0903423883
46,0.4138545837,0.092460681
47,0.3195753602,0.0834622077
48,0.3770257248,0.1019130675
49,0.3280408257,0.093947338
50,0.4382225265,0.090792927
51,0.5410666089,0.115499406
52,0.2543419055,0.0949914623
53,0.3341493146,0.0834414803
54,0.1989327322,0.0847505929
55,0.1734330429,0.0916957065
56,0.3480299316,0.0899064881
57,0.3733679062,0.0850413502
58,0.2566118848,0.0870002722
59,0.4158583912,0.0947632351
60,0.2434101827,0.0987835491
61,0.3123786441,0.1001437362
62,0.3144161955,0.0845973901
63,0.3511843517,0.0864241085
64,0.2671212253,0.0890653504
65,0.3333895499,0.0886598262
66,0.2365125757,0.0853283082
67,0.1848981621,0.084128991
68,0.4172485663,0.0873182048
69,0.3064519126,0.0842165719
70,0.3136594811,0.0945977562
71,0.2751042924,0.0893172882
72,0.3002636278,0.0838265722
73,0.2463013516,0.0866029351
74,0.2122544089,0.0874403054
75,0.33277262,0.088673867
76,0.1713832365,0.1004069742
77,0.3776412132,0.0877181792
78,0.280133259,0.0833420888
79,0.2770405414,0.0962937743
80,0.4795679559,0.1014552607
81,0.2145879801,0.0989223784
82,0.3206108794,0.1068904137
83,0.3687586094,0.0926873477
84,0.3004839503,0.0877109369
85,0.132861564,0.1024809804
86,0.2337270483,0.1076176329
87,0.3280077736,0.0926798798
88,0.2590142324,0.0861641721
89,0.2843849628,0.092064882
90,0.2503517999,0.083691206
91,0.2813087576,0.0947994943
92,0.3660467365,0.0950981895
93,0.2994122138,0.105932647
94,0.2282251882,0.0968261762
95,0.3344841194,0.0880243121
96,0.2074325805,0.0879821883
97,0.2772461887,0.1001436822
98,0.5381217996,0.0937600794
99,0.1674526351,0.0858851405
100,0.2034314534,0.0869504052
101,0.2716879353,0.0850794411
102,0.3477631071,0.087507216
