N,f_mics,df_mics,f_mbar,df_mbar
10000,-36.2680732825,0.4175503576,-36.9862856148,0.7860605202
12500,-36.5923049211,0.3926942339,-37.253435005,0.7141858808
15000,-36.906066972,0.3720883921,-36.9040126779,0.6685394103
17500,-36.6116755164,0.3547109491,-35.7432195959,0.6111931943
20000,-36.6833587079,0.3388668292,-36.6481788545,0.5810145432
22500,-36.8000596756,0.3248678853,-36.7193793604,0.5405707977
25000,-36.5647408286,0.3132564406,-36.5292190913,0.4995426491
27500,-36.7030297448,0.305939963,-36.7721380527,0.4823006576
30000,-36.8806368694,0.3001497138,-36.8938789783,0.4719063712
32500,-37.1372407344,0.2899953776,-37.5424140177,0.4509055883
35000,-36.9254148954,0.2815714382,-36.7216159995,0.4471361405
37500,-36.9118403625,0.2711578876,-36.9507404457,0.4355774098
40000,-36.8290969242,0.2653303145,-36.2991838942,0.4186455246
42500,-36.8691624507,0.257517103,-36.9570673109,0.403184106
45000,-36.710003187,0.2522186648,-36.1622632419,0.3882192788
47500,-36.6543841173,0.2474431765,-36.4214106884,0.3874600851
50000,-36.6424047618,0.2426298766,-36.9505343383,0.3715283465
52500,-36.7362260242,0.2382895085,-36.6469468133,0.3685288537
55000,-36.7245540014,0.2342442406,-36.6696631894,0.3648621603
57500,-36.5793950423,0.2297198835,-36.6457595846,0.3614943706
60000,-36.5586251752,0.2264954634,-36.6474131491,0.3624063073
62500,-36.5936658515,0.2227298243,-36.5048182619,0.3600816468
65000,-36.5374572529,0.220128082,-36.2566452142,0.3639216055
67500,-36.3922542088,0.2166124614,-36.2942005729,0.3674891279
70000,-36.3595894014,0.2138772673,-36.5344018328,0.3697413213
72500,-36.2885303773,0.2108314118,-36.4375463517,0.3593930723
75000,-36.2399017216,0.2084094573,-36.0976158849,0.3524613135
77500,-36.244786776,0.2073189925,-36.0511036035,0.3411948718
80000,-36.1565874367,0.2049112699,-36.302676497,0.3392370745
82500,-36.129303242,0.2019503835,-36.2267921854,0.3327592816
85000,-36.1071402874,0.1987763716,-36.1855179244,0.3256961787
87500,-36.1401626898,0.1962235414,-35.9689307269,0.3035198006
90000,-36.1125522144,0.1948644045,-36.3746330892,0.3215361986
92500,-36.0389394991,0.1926937364,-36.3720495501,0.2981346645
95000,-36.04826199,0.1907135227,-35.922222845,0.2906462399
97500,-36.0064892599,0.1885612171,-35.6367150435,0.2858741595
100000,-35.9651941903,0.1857158108,-35.9001534608,0.2986559633
102500,-35.8871836651,0.1844441132,-35.9615711645,0.2819862879
105000,-35.8691525777,0.1833957675,-35.7890614058,0.2794443958
107500,-35.8864475998,0.1820918326,-35.9211214721,0.2761445588
110000,-35.916983331,0.1806586659,-35.618914789,0.2716081055
112500,-35.9330844396,0.1793048228,-35.8638646277,0.2707898489
115000,-35.9923130397,0.1777380682,-36.0795678868,0.2852848036
117500,-36.0136242847,0.1759573876,-36.0706773334,0.2837127692
120000,-36.0304600488,0.1745986126,-35.843874679,0.2765628327
122500,-36.005521829,0.1737471707,-35.9753429282,0.2804377976
125000,-36.0042179313,0.1721641202,-36.2766525043,0.2706803801
127500,-35.9744130974,0.1708662615,-35.8016781899,0.2705101761
130000,-35.9367175801,0.1696393531,-35.6749144458,0.2625449187
132500,-35.8872074344,0.1684835439,-35.740108442,0.2650440099
135000,-35.8836467442,0.1669739691,-35.9457152351,0.259688292
137500,-35.8542896435,0.165538092,-35.6412567416,0.2866959696
140000,-35.7853742091,0.1647127964,-35.8715597427,0.2800972352
142500,-35.7485825203,0.1632572837,-35.5456825641,0.2797788212
145000,-35.7469505421,0.1622445757,-35.7593695452,0.2911638572
147500,-35.7137496568,0.1614262359,-35.4801317704,0.2988337149
150000,-35.6876697509,0.1605137105,-35.6794248814,0.3080773215
152500,-35.720267929,0.1589988353,-35.7328979257,0.2906763329
155000,-35.7817566535,0.1584409106,-35.9477078494,0.2915133186
157500,-35.7882924163,0.157624182,-35.8903359872,0.2906071831
160000,-35.7516502074,0.1566329067,-35.3504460646,0.2751810556
162500,-35.7264496926,0.1556569505,-35.9430612513,0.2727946845
165000,-35.7832670013,0.1553572068,-35.5013510035,0.279029303
167500,-35.794110747,0.1547454308,-35.7784602599,0.272532835
170000,-35.7891687422,0.1541289475,-35.8697658191,0.2709161595
172500,-35.8092182574,0.1531838325,-35.6915042048,0.2724900809
175000,-35.8401754892,0.1529275584,-36.0515564467,0.263120003
177500,-35.8590759726,0.1521733081,-36.0190824319,0.263610567
180000,-35.8494841848,0.1513387487,-36.1661786589,0.2627430134
182500,-35.8681010322,0.1504671418,-35.695871517,0.2551103861
185000,-35.8572241063,0.1491880526,-36.0691928492,0.2575648498
187500,-35.8921478391,0.1482336984,-35.2511003866,0.2629421963
190000,-35.9228005978,0.1474438325,-36.0640924371,0.2595496706
192500,-35.9553651017,0.1466679226,-36.3203860401,0.2575432002
195000,-35.9653106668,0.1460728762,-35.9806703078,0.2563959195
197500,-35.9568657073,0.1450587008,-35.6321693939,0.2528371053
200000,-35.912793801,0.1443572827,-35.9543476966,0.2580998658
202500,-35.9434233934,0.1439230748,-35.7438057812,0.2557567645
205000,-35.9485418749,0.1432356745,-36.1270093021,0.2550375664
207500,-35.9325672185,0.1424470344,-36.0819489369,0.2533545142
210000,-35.9238025213,0.1418264436,-35.8911881925,0.2490618259
212500,-35.934483954,0.140976454,-35.6522676698,0.2473104508
215000,-35.9182851567,0.1403780588,-36.0903294956,0.2459563276
217500,-35.8732222693,0.1399303702,-35.6332431465,0.2443961009
220000,-35.8503481138,0.1395537862,-35.9888190832,0.2479897675
222500,-35.8707676246,0.1388049181,-36.0746130453,0.2488323687
225000,-35.8767960925,0.1380459647,-35.5652549839,0.2333846923
227500,-35.8733449749,0.1375208509,-35.7046568972,0.2356703956
230000,-35.898001169,0.1371070274,-35.9522272437,0.2336904451
232500,-35.9298502562,0.136557076,-35.8475478554,0.2298741681
235000,-35.9315675944,0.1357145916,-35.7322936003,0.2287591334
237500,-35.9062340983,0.1353889175,-35.8141272941,0.2299535358
240000,-35.9013811647,0.1349116882,-35.6469578866,0.2255325182
242500,-35.9091910133,0.134459878,-35.8520975683,0.2310645038
245000,-35.8995771277,0.1338650737,-35.9342162168,0.2303589682
247500,-35.9026946793,0.1335258084,-35.7442400139,0.2265658177
250000,-35.8677567635,0.1328681746,-36.0333370299,0.2318352592
