p1,p2,p3,p4,p5,p6,p7,p8,p9,df,df_no_opt
0.1111111111,0.1111111111,0.1111111111,0.1111111111,0.1111111111,0.1111111111,0.1111111111,0.1111111111,0.1111111111,0.02445441807052643,0.0237498
0.1773782917,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.024373133006621504,0.0237498
0.1028277135,0.1773782917,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.024444274229054784,0.0237498
0.1028277135,0.1028277135,0.1773782917,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.0247485329670189,0.0237498
0.1028277135,0.1028277135,0.1028277135,0.1773782917,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.02609817346207237,0.0237498
0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1773782917,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.02445017255811208,0.0237498
0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1773782917,0.1028277135,0.1028277135,0.1028277135,0.024566013335668595,0.0237498
0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1773782917,0.1028277135,0.1028277135,0.024482432000220888,0.0237498
0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1773782917,0.1028277135,0.024461221319928835,0.0237498
0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1028277135,0.1773782917,0.024432141673687666,0.0237498
0.1214057364,0.1214057364,0.1214057364,0.0287541091,0.1214057364,0.1214057364,0.1214057364,0.1214057364,0.1214057364,0.025342617252751647,0.0237498
0.1185270162,0.1185270162,0.1185270162,0.0517838702,0.1185270162,0.1185270162,0.1185270162,0.1185270162,0.1185270162,0.024225649323850632,0.0237498
0.1249737441,0.1249737441,0.0320270295,0.0931567617,0.1249737441,0.1249737441,0.1249737441,0.1249737441,0.1249737441,0.02549983606488401,0.0237498
0.1074363883,0.1074363883,0.1471302715,0.1008150103,0.1074363883,0.1074363883,0.1074363883,0.1074363883,0.1074363883,0.024433414116392455,0.0237498
0.1260358969,0.1260358969,0.1180900282,0.0926930136,0.1260358969,0.0330015767,0.1260358969,0.1260358969,0.1260358969,0.02458429707320815,0.0237498
0.1076536834,0.1076536834,0.1060010336,0.1007205479,0.1076536834,0.147356318,0.1076536834,0.1076536834,0.1076536834,0.02436167808607712,0.0237498
0.1271501059,0.1271501059,0.118822752,0.0922065275,0.1271501059,0.1191963668,0.034023824,0.1271501059,0.1271501059,0.024453374863947618,0.0237498
0.1327016831,0.1327016831,0.1224731693,0.089782132,0.1327016831,0.122932269,0.09488926,0.0391164374,0.1327016831,0.02424246495878132,0.0237498
0.12755226,0.12755226,0.1160567113,0.0793186748,0.12755226,0.1165732375,0.0850581463,0.0927841899,0.12755226,0.024055634086119444,0.0237498
0.1291267523,0.1291267523,0.1165306601,0.0762740184,0.1291267523,0.1170960793,0.0825631867,0.0910290466,0.1291267523,0.02406098325516118,0.0237498
